heart,rate_bps,2DOF,NoAGC,PID,Improve_PID,Improve_2DOF
1,500,0.00014123780641572128,0.0003823070197998126,0.00017854950790935573,0.5329682724558664,0.6305644440175918
1,1000,0.00010805512562024964,0.00035663331035291516,0.00014912636223026469,0.5818495976085547,0.6970133678390247
1,2000,0.0001816965732209186,0.0007976359242949239,0.0002610107202788277,0.672769602861669,0.7722061310346188
1,3000,0.00018392221819752745,0.001064713534554178,0.0002915266050733662,0.7261924493188343,0.8272566167062577
1,4000,0.00013597179063918469,0.0009359024268150916,0.00023060010646744025,0.753606679649095,0.8547158477813745
1,5000,0.00012095745128821619,0.0013439365074200563,0.00021816044153534164,0.8376705742192074,0.9099976445163938
2,500,7.907036978890413e-05,0.00020617396785075742,9.831069295062608e-05,0.5231663144699724,0.6164871316531068
2,1000,0.00013835283999634297,0.0004578002811534921,0.00018154836824160734,0.6034332530679738,0.6977877784440334
2,2000,0.00021337489404096347,0.0009687871653300401,0.00031346577363098395,0.6764348405418908,0.7797504945595843
2,3000,0.00020242903389246868,0.0011908516832379546,0.00031537671626108947,0.7351670903268386,0.8300132277244978
2,4000,0.00013370610053487574,0.0009083167161786788,0.00022431140261872047,0.7530471490578676,0.8527979303327344
2,5000,0.00013761755708867592,0.00151546349034292,0.000248109129900103,0.8362816844607978,0.9091911102011863
3,500,0.0001072419543299814,0.00032775027449223257,0.00014660153061486395,0.5527035611427435,0.6727937009476923
3,1000,0.00010538111732006774,0.0003468688885241948,0.00014314622831371063,0.5873189177537729,0.6961932280279521
3,2000,0.00016718020124015248,0.0007394598318773578,0.00024315027244884956,0.6711785252330286,0.7739157773915704
3,3000,0.00021526129888807657,0.001236709817179526,0.0003309449114355027,0.7323988967838351,0.825940333053224
3,4000,0.0001188869100325391,0.0008260560757618382,0.00020597217050770535,0.750655946307585,0.8560788867476163
3,5000,8.732031064770779e-05,0.0009807373778860258,0.00015874466762979894,0.8381374349451509,0.9109646347568334
