x1,ECG,x2,receiver,x3,Vg,x4,Received
3.05127,22.36751,1.7,4.29904,1.68,13.35317,28.33333,99.96154
3.14692,22.36751,1.72,4.37914,1.7,13.19282,28.66667,99.96154
3.17605,24.55006,1.74,4.44387,1.72,13.06537,29.0,99.96154
3.20314,26.22146,1.76,4.1369,1.74,13.6871,29.33333,99.92308
3.22411,27.18163,1.78,4.68137,1.76,12.61314,29.66667,100.0
3.24304,27.60837,1.8,4.05618,1.78,13.85826,30.0,100.0
3.25848,27.92843,1.82,3.88661,1.8,14.22918,30.33333,100.03846
3.27887,27.89287,1.84,2.9968,1.82,16.48744,30.66667,100.03846
3.29809,27.11051,1.86,3.01814,1.84,16.42581,31.0,100.03846
--,--,1.88,2.52389,1.86,17.97919,31.33333,100.07692
,,1.9,2.33036,1.88,18.67214,31.66667,100.0
,,1.92,2.00508,1.9,19.97797,32.0,100.0
,,1.94,1.65849,1.92,21.62634,32.33333,100.0
,,1.96,1.26707,1.94,23.96459,32.66667,100.0
,,1.98,1.9061,1.96,20.41769,33.0,99.96154
,,2.0,2.00693,1.98,19.96996,33.33333,99.92308
,,2.02,1.34304,2.0,23.45882,33.66667,99.96154
,,2.04,1.81162,2.02,20.85926,34.0,100.03846
,,2.06,1.53572,2.04,22.29436,34.33333,100.0
,,2.08,1.7338,2.06,21.24062,34.66667,100.03846
,,2.1,1.29232,2.08,23.7932,35.0,100.03846
,,2.12,2.00364,2.1,19.98421,35.33333,100.07692
,,2.14,1.7893,2.12,20.96694,35.7,100.03846
,,2.16,1.75921,2.14,21.11425,36.0,99.96154
,,2.18,1.20653,2.16,24.38984,36.33333,99.92308
,,2.2,1.89089,2.18,20.48727,36.66667,99.96154
,,2.22,1.81423,2.2,20.84675,37.0,100.03846
,,2.24,1.7644,2.22,21.08866,37.33333,100.03846
,,2.26,1.98279,2.24,20.07507,37.66667,99.86342989780144
,,2.28,2.18441,2.26,19.23392,38.0,99.5715162558406
,,2.3,1.69342,2.28,21.44531,38.33333,98.91629241824938
,,2.32,1.70604,2.3,21.38082,38.66667,98.11155979218354
,,2.34,2.00363,2.32,19.98425,39.0,97.7
,,2.36,2.05494,2.34,19.76462,39.33333,98.07309979218353
,,2.38,1.43911,2.36,22.85872,39.66667,98.91629241824938
,,2.4,1.55514,2.38,22.18521,40.0,99.5330562558406
,,2.42,1.56466,2.4,22.1322,40.33333,99.86342989780144
,,2.44,1.94792,2.42,20.22918,40.66667,100.0
,,2.46,1.52924,2.44,22.33109,41.0,100.03846
,,2.48,1.67139,2.46,21.55904,41.33333,100.03846
,,2.5,1.6025,2.48,21.92464,41.66667,100.03846
,,2.52,2.13102,2.5,19.44885,42.0,100.03846
,,2.54,2.27349,2.52,18.88674,42.33333,100.03846
,,2.56,1.51719,2.54,22.3998,42.66667,100.07692
,,2.58,2.1653,2.56,19.31024,43.0,100.07692
,,2.6,1.72094,2.58,21.30529,43.33333,100.0
,,2.62,1.94413,2.6,20.24609,43.66667,99.92308
,,2.64,1.79528,2.62,20.93796,44.0,99.88462
,,2.66,2.19326,2.64,19.1988,44.33333,99.84615
,,2.68,2.10467,2.66,19.55692,44.66667,100.0
,,2.7,2.07979,2.68,19.66021,45.0,100.07692
,,2.72,1.60854,2.7,21.89196,45.33333,100.03846
,,2.74,1.76859,2.72,21.06806,45.66667,100.0
,,2.76,1.9229,2.74,20.34147,46.0,99.96154
,,2.78,1.49393,2.76,22.53399,46.33333,99.92308
,,2.8,2.00328,2.78,19.98577,46.66667,99.96154
,,2.82,2.26739,2.8,18.91008,47.0,100.0
,,2.84,1.9305,2.82,20.3072,47.33333,100.03846
,,2.86,1.65528,2.84,21.64317,47.66667,100.03846
,,2.88,1.42784,2.86,22.92701,48.0,100.03846
,,2.9,1.85067,2.88,20.67402,48.33333,100.0
,,2.92,1.35808,2.9,23.36209,48.66667,100.03846
,,2.94,1.15482,2.92,24.77031,49.0,100.03846
,,2.96,2.02558,2.94,19.88961,49.33333,100.0
,,2.98,1.6698,2.96,21.56731,49.66667,100.07692
,,3.0,1.70017,2.98,21.41075,50.0,100.03846
,,3.02,1.71346,3.0,21.34312,50.33333,99.92308
,,3.04,1.67706,3.02,21.52963,50.66667,99.92308
,,3.06,1.68161,3.04,21.50609,51.0,99.88462
,,3.08,1.65857,3.06,21.62592,51.33333,99.92308
,,3.1,1.73855,3.08,21.21686,51.66667,99.96154
,,3.12,1.59108,3.1,21.98676,52.0,100.03846
,,3.14,2.19757,3.12,19.18175,52.33333,100.03846
,,3.16,4.02353,3.14,13.92846,52.66667,100.0
,,3.18,4.34623,3.16,13.25835,53.0,100.03846
,,3.2,4.50585,3.18,12.94507,53.33333,99.96154
,,3.22,4.48142,3.2,12.99229,53.66667,100.07692
,,3.24,4.47145,,13.01163,54.0,100.03846
,,3.26,4.61353,,12.73993,54.33333,99.96154
,,3.28,4.49807,,12.96008,54.66667,99.96154
,,3.3,4.92714,,12.1687,55.0,99.96154
,,,,,,55.33333,99.96154
,,,,,,55.66667,99.96154
,,,,,,56.0,99.92308
,,,,,,56.33333,100.0
,,,,,,56.66667,100.0
,,,,,,57.0,100.03846
,,,,,,57.33333,100.03846
,,,,,,57.66667,100.03846
,,,,,,58.0,100.07692
,,,,,,58.33333,100.0
,,,,,,58.66667,100.0
,,,,,,59.0,100.0
,,,,,,59.33333,100.0
,,,,,,59.66667,99.96154
,,,,,,60.0,99.92308
,,,,,,60.33333,99.96154
,,,,,,60.66667,100.03846
,,,,,,61.0,100.0
,,,,,,61.33333,100.03846
,,,,,,61.66667,100.03846
,,,,,,62.0,100.07692
,,,,,,62.33333,100.03846
,,,,,,62.66667,99.96154
,,,,,,63.0,99.92308
,,,,,,63.33333,99.96154
,,,,,,63.66667,100.03846
,,,,,,64.0,100.03846
,,,,,,64.33333,99.96154
,,,,,,64.66667,99.96154
,,,,,,65.0,99.96154
,,,,,,65.33333,100.0
,,,,,,65.66667,100.0
,,,,,,66.0,99.96154
,,,,,,66.33333,99.96154
,,,,,,66.66667,99.92308
,,,,,,67.0,99.96154
,,,,,,67.33333,100.0
